caseid,totalnewsbinary,totalnewscount,totalnewsfncount2016def,totalvisits,totalProTrumpFNbinary_ag80,totalProClintonFNbinary_ag80,totalProTrumpFNcount_ag80,totalProClintonFNcount_ag80,totalFakeNewsbinary,totalFakeNewscount,mfb,diet_mean,weight,decile,totalnewsfncount2018def,totalProRepFNbinary,totalProDemFNbinary,totalProRepFNcount,totalProDemFNcount,totalfakebinary18,totalfakecount18
416636284,0,0,0,6605,0,0,0,0,0,0,0.046782740348221045,0.047080000000000004,0.763512550087712,8,0,0,0,0,0,0,0
416637756,1,409,409,12675,0,0,0,0,0,0,0.00757396449704142,-0.24420632411067195,0.369230288617313,1,182,0,0,0,0,0,0
416638153,1,190,190,1830,0,0,0,0,0,0,0.25901639344262295,-0.2000790780141844,0.349070504274795,2,131,0,0,0,0,0,0
416650664,1,104,104,1043,0,0,0,0,0,0,0.03368623676612127,-0.1513081081081081,0.734675550157968,2,104,0,0,0,0,0,0
416650920,1,35,35,1494,0,0,0,0,0,0,0,-0.6495542857142858,0.369230288617313,1,9,0,0,0,0,0,0
416651767,1,5,5,673,0,0,0,0,0,0,0.02526002971768202,-0.12045714285714286,0.653059471407918,2,5,0,0,0,0,0,0
416652484,1,4,4,17650,0,0,0,0,0,0,0.018073654390934845,0.05692087912087912,0.494544771514758,9,2,0,0,0,0,0,0
416652487,1,110,110,7657,0,0,0,0,0,0,0.015445026178010472,-0.03390769230769231,0.489852753451177,4,81,0,0,0,0,0,0
416652489,0,0,0,14,0,0,0,0,0,0,0,NaN,0.469586227659847,NA,0,0,0,0,0,0,0
416652490,0,0,0,8,0,0,0,0,0,0,0,NaN,0.436260804471458,NA,0,0,0,0,0,0,0
416652499,1,701,701,8714,0,0,0,0,0,0,0.12698778520396403,-0.29661765295887665,1.27639265159824,1,383,0,0,0,0,0,0
416652502,1,24,24,1408,0,0,0,0,0,0,0.5262784090909091,-0.0071683544303797475,0.511200325880593,5,9,0,0,0,0,0,0
416652504,1,27,27,1276,0,0,0,0,0,0,0.02664576802507837,0.03314411764705882,0.434161872349554,7,12,0,0,0,0,0,0
416652506,1,8,8,2548,0,0,0,0,0,0,0.06554160125588697,0.04814545454545455,0.603321598519808,8,8,0,0,0,0,0,0
416652508,0,0,0,786,0,0,0,0,0,0,0.08789808917197452,0.0362,0.555390402679295,7,0,0,0,0,0,0,0
416652509,0,0,0,74,0,0,0,0,0,0,0,NaN,0.636021736206765,NA,0,0,0,0,0,0,0
416652510,0,0,0,52,0,0,0,0,0,0,0.07692307692307693,0.0634,0.903140690568511,9,0,0,0,0,0,0,0
416652512,1,55,55,4309,0,0,0,0,0,0,0.12137386864701787,-0.13132773109243698,0.510046349388695,2,35,0,0,0,0,0,0
416652517,1,118,118,13901,0,0,0,0,0,0,0.139989928782102,-0.2083744292237443,0.396591407118776,2,38,0,0,0,0,0,0
