caseid,totalnewsbinary,totalnewscount,totalnewsfncount2016def,totalvisits,totalProTrumpFNbinary_ag80,totalProClintonFNbinary_ag80,totalProTrumpFNcount_ag80,totalProClintonFNcount_ag80,totalFakeNewsbinary,totalFakeNewscount,mfb,diet_mean,count,weight,decile,totalnewsfncount2018def,totalProRepFNbinary,totalProDemFNbinary,totalProRepFNcount,totalProDemFNcount,totalfakebinary18,totalfakecount18
394950993,1,1645,1645,14450,0,0,0,0,0,0,0.005121107266435986,-0.03173768203883496,14450,0.417336705756512,4,1645,0,0,0,0,0,0
394950995,1,1512,1512,4583,0,0,0,0,0,0,0.045603316604843985,-0.084,4583,0.77230468600563,3,1512,0,0,0,0,0,0
394950996,1,70,70,2548,0,0,0,0,0,0,0,-0.3679932432432433,2548,0.248263989331844,1,70,0,0,0,0,0,0
394950997,1,326,326,4479,0,0,0,0,0,0,0.10247823174815807,-0.048031837606837616,4479,0.243591318263317,4,326,0,0,0,0,0,0
394950998,1,688,688,6268,0,0,0,0,0,0,0.03174856413529036,-0.0314312744331509,6268,1.74388790053418,4,688,0,0,0,0,0,0
394950999,1,125,125,9332,0,0,0,0,0,0,0.15312901843120447,0.06525935344827587,9332,0.623170687579443,10,125,0,0,0,0,0,0
394951e3,1,1592,1592,26965,0,0,0,0,0,0,0.011718894863712219,-0.31837319807794984,26965,0.248263989331844,1,1592,0,0,0,0,0,0
394951001,1,1387,1392,12405,1,0,5,0,1,5,0.12696493349455865,-0.6513930311231394,12405,0.255696640256599,1,1392,1,0,5,0,1,5
394951002,1,4,4,12060,0,0,0,0,0,0,0.09386401326699834,0.0306290763968073,12060,0.77230468600563,7,4,0,0,0,0,0,0
394951005,1,49,49,3972,0,0,0,0,0,0,0.005035246727089627,-0.09413536585365855,3972,0.177043404160371,2,49,0,0,0,0,0,0
394951006,1,969,969,5450,0,0,0,0,0,0,0.052110091743119265,0.0029801769911504392,5450,0.416809511160153,5,969,0,0,0,0,0,0
394951007,1,116,116,7063,0,0,0,0,0,0,4.2474869035820476e-4,0.03760247524752475,7063,0.375122719819658,8,116,0,0,0,0,0,0
394951008,1,11,11,8881,0,0,0,0,0,0,0.020718387568967458,0.024686713286713288,8881,0.255696640256599,6,11,0,0,0,0,0,0
394951009,1,461,461,8477,0,0,0,0,0,0,0,-0.11334557438794728,8477,0.276202079990069,2,461,0,0,0,0,0,0
394951011,1,1392,1393,7513,1,0,1,0,1,1,0.28617063756155997,-0.6364790488431876,7513,0.468476168443526,1,1393,1,0,1,0,1,1
394951012,1,167,172,11216,1,0,5,0,1,5,0.005171184022824536,-0.02937105263157895,11216,0.688152691932638,4,173,1,0,6,0,1,6
394951013,1,988,988,2773,0,0,0,0,0,0,0.00576992426974396,0.014419296663660956,2773,0.368062392283773,6,988,0,0,0,0,0,0
394951014,1,1295,1295,7559,0,0,0,0,0,0,3.968778939013097e-4,0.3798563397876327,7559,3.31982372455296,10,1295,0,0,0,0,0,0
394951015,1,2266,2266,15256,0,0,0,0,0,0,1.966439433665443e-4,-0.5025300042498938,15256,0.468476168443526,1,2266,0,0,0,0,0,0
394951018,1,227,227,2264,0,0,0,0,0,0,0.003975265017667844,0.696506611570248,2264,0.375122719819658,10,227,0,0,0,0,0,0
394951020,1,346,346,4904,0,0,0,0,0,0,0,-0.1376092013888889,4904,0.248263989331844,2,346,0,0,0,0,0,0
394951021,1,1797,1803,21255,1,0,6,0,1,6,0.15624558927311222,-0.1739237040223704,21255,0.200491482665035,2,1803,1,0,6,0,1,6
394951022,1,5,5,611,0,0,0,0,0,0,0,0.03354,611,0.884194921730423,7,5,0,0,0,0,0,0
394951023,1,164,164,6910,0,0,0,0,0,0,0.05180897250361795,-0.21991285714285716,6910,0.248263989331844,1,164,0,0,0,0,0,0
