totalfakebinary18_presurvey,pol_therm_media,pol_therm_media_w2,massmedia_trust,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight
0,NA,NA,3,1,NA,NA,NA,4,0,NA,3,1,0,0.842204137
0,45,45,3,3,0,0,NA,4,5,2,3,0,1,0.654641028
0,32,34,3,3,77,59,0,7,3,75,4,0,0,0.929345078
0,6,38,3,3,0,0,NA,4,5,16,3,1,1,1.011182049
0,0,1,2,1,NA,95,1,1,4,0,4,0,0,0.813321963
0,69,NA,3,NA,44,NA,1,4,5,31,4,1,0,0.947004739
1,2,13,1,1,75,74,0,5,2,100,4,0,0,0.88878483
1,45,66,2,3,71,77,1,2,4,3,4,0,1,0.92290621
0,5,9,2,2,28,48,0,6,5,79,4,0,0,0.969135818
NA,9,29,2,2,51,30,0,4,2,100,3,0,0,0.918200701
NA,0,0,1,1,100,100,0,6,5,100,4,0,0,1.029756452
0,5,6,1,1,39,39,0,7,3,59,4,0,1,0.936635162
0,72,70,3,3,-11,-14,0,5,5,6,4,0,1,0.80254565
0,87,79,3,3,67,90,1,1,5,1,4,0,1,0.901899606
0,38,8,2,2,0,0,NA,4,5,75,3,0,0,0.471433393
0,55,85,3,4,74,60,1,1,5,1,4,0,1,0.707850111
0,1,90,4,4,70,65,1,3,5,0,4,0,0,0.7892061
0,3,1,2,2,36,70,0,6,4,95,4,0,1,0.824945232
0,88,90,3,3,72,64,1,4,5,0,4,0,0,0.665414714
0,70,70,2,2,56,29,1,2,3,1,4,0,0,0.738988461
0,2,1,2,2,72,14,0,6,5,90,4,0,1,0.808827312
0,65,70,3,3,52,79,1,2,5,8,4,0,1,0.707850111
0,100,NA,4,NA,100,NA,1,1,2,0,3,1,0,0.839695575
0,0,0,1,1,29,29,0,6,5,100,4,0,1,0.99719565
0,25,30,2,2,0,0,NA,4,5,56,3,0,1,1.174872405
0,8,6,1,2,63,55,0,7,5,83,2,0,1,1.074571751
NA,80,78,3,3,88,89,1,1,4,0,2,0,0,0.894727256
0,50,NA,2,3,0,NA,NA,4,3,99,4,0,0,0.801719343
0,27,9,1,2,56,50,0,5,3,85,3,0,0,0.907469147
0,21,13,2,2,79,88,0,6,5,100,4,0,1,1.003826157
0,1,NA,1,NA,0,NA,NA,7,4,100,3,0,0,0.775776629
0,11,33,3,2,8,16,0,5,4,33,3,0,1,1.003826157
0,86,88,3,3,37,47,1,2,4,39,4,1,0,0.839695575
0,13,48,2,2,63,-1,0,4,2,68,3,0,0,0.918200701
1,88,49,3,4,80,56,1,1,1,100,3,1,1,0.864438646
0,63,65,3,3,0,0,NA,4,2,1,4,1,0,0.569578441
0,0,14,2,2,75,72,0,4,3,96,4,0,0,0.955160472
0,73,71,3,3,59,54,1,1,4,0,4,0,1,0.92329157
0,78,48,3,3,9,31,1,5,1,6,3,1,1,0.884572728
0,61,NA,4,NA,71,NA,1,1,5,1,4,0,0,0.770920794
0,95,84,3,3,50,29,1,4,5,13,4,1,0,0.898583369
0,3,5,1,2,37,40,0,6,5,84,3,1,1,1.067952361
0,12,9,1,1,14,10,0,6,5,92,4,0,1,0.808489726
NA,16,1,1,2,90,NA,0,7,4,100,4,0,0,0.901789007
