totalfakebinary18_pre,pol_therm_media,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary,vote_combined,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,68,98,3,3,4,0,0,0,1,3,4,0,0,NA,4,1,3,2,1,0,0.688703613,1
0,47,NA,3,4,4,0,0,0,0,NA,NA,0,NA,NA,5,0,52,1,1,0,5.816761912,0
NA,25,NA,2,2,3,0,0,0,0,NA,NA,0,NA,NA,3,1,10,2,0,0,0.898168306,0
0,50,NA,3,1,2,0,0,0,0,NA,NA,0,NA,NA,2,4,0,2,0,0,0.344068026,0
NA,41,46,2,2,1,0,1,1,4,3.200000048,3,0,0,NA,5,5,6,1,0,0,1.548593986,0
0,NA,NA,1,1,1,0,0,0,1,3,2,0,NA,NA,4,0,0,2,1,0,1.00132967,1
NA,2,2,1,4,1,0,0,1,4,2.599999905,1,0,0,NA,7,2,89,2,0,0,0.815356956,1
0,33,7,2,3,1,0,0,1,4,1,2,0,0,NA,4,5,0,3,1,0,2.316860019,1
0,50,NA,3,1,1,0,0,0,0,NA,NA,NA,NA,NA,2,2,5,1,1,0,0.704601842,0
0,3,1,2,3,1,0,1,1,4,1.799999952,1,0,0,NA,4,3,0,2,0,0,0.622531133,0
NA,7,NA,3,2,3,0,0,0,0,NA,NA,0,NA,NA,3,2,71,1,1,1,2.012183826,0
0,9,20,2,4,1,0,1,1,4,2.799999952,2,0,0,NA,6,3,94,4,0,0,0.605938414,0
0,60,50,2,1,3,1,0,1,4,1.399999976,2,0,0,NA,4,3,3,4,1,0,1.175806699,0
0,53,73,3,1,2,0,1,1,4,1,3,0,0,NA,4,4,0,4,0,0,1.743887901,0
0,0,0,1,4,1,0,1,1,4,2.799999952,1,0,0,NA,7,5,92,4,0,0,0.884194922,0
NA,42,49,2,3,1,0,0,0,1,1.600000024,2,0,0,NA,4,4,98,2,1,1,0.759067705,1
NA,66,66,3,1,4,0,1,1,3,1,3,0,0,NA,4,5,25,4,1,1,0.424622582,0
0,30,NA,3,2,3,0,0,0,0,NA,NA,0,NA,NA,2,2,18,1,0,1,1.195806838,0
0,60,70,3,1,4,0,0,1,4,3,3,0,0,NA,1,5,1,3,0,1,0.29376268,1
NA,11,16,3,3,1,0,1,1,4,3,2,0,0,NA,4,5,50,4,0,0,0.884194922,0
0,2,11,2,4,1,1,0,1,4,1.799999952,2,0,0,NA,5,5,88,4,0,0,0.386353331,0
1,1,0,1,4,1,0,1,1,4,3.400000095,1,0,0,NA,7,5,100,4,0,0,0.386353331,0
0,0,32,1,3,2,0,0,1,4,3.599999905,1,0,0,NA,4,2,91,4,0,0,0.820545073,1
0,1,0,1,1,1,0,0,1,3,1,2,0,0,NA,5,3,1,1,0,1,1.001985104,1
0,47,55,2,4,1,0,0,1,4,2.799999952,2,0,0,NA,5,5,75,4,1,0,0.660806061,1
0,50,50,3,1,1,0,0,1,4,3,2,0,0,NA,4,2,35,3,0,0,0.843572737,1
1,4,10,2,3,2,1,0,1,4,2,2,0,0,NA,6,5,83,4,0,1,0.368062392,0
0,31,22,2,1,3,0,0,1,3,1.200000048,2,0,0,NA,4,4,40,3,1,0,1.175806699,1
0,9,3,1,3,2,1,0,1,4,1,1,0,0,NA,6,1,73,2,0,0,0.815356956,0
0,27,25,3,2,2,0,0,0,2,1,3,0,0,NA,6,1,8,2,1,1,0.651048249,1
NA,40,44,2,3,4,1,0,0,2,2.799999952,2,0,0,NA,5,1,54,2,0,0,0.815356956,0
0,11,41,2,3,4,0,1,1,4,1,2,0,0,NA,7,5,94,4,0,0,0.386353331,0
0,23,11,3,4,4,0,1,1,3,1,2,0,0,NA,2,1,21,3,0,0,0.340490853,0
0,76,92,4,1,1,0,0,1,4,1,4,0,0,NA,4,5,32,4,0,1,0.243591318,1
0,71,66,3,2,2,1,0,1,4,3.400000095,3,0,0,NA,4,4,35,4,0,0,1.743887901,0
NA,55,39,2,4,3,0,1,0,1,1,2,0,NA,NA,4,0,79,3,0,0,0.498891544,0
0,67,60,3,1,1,0,0,1,4,4.199999809,2,0,0,NA,3,5,0,4,0,1,0.243591318,1
NA,NA,7,2,1,1,0,1,0,1,1,1,NA,NA,NA,NA,0,1,2,1,0,0.462506806,0
0,NA,50,1,1,1,0,0,0,1,1,2,0,0,NA,4,0,52,3,0,0,2.653011692,1
0,75,74,3,4,4,0,0,0,2,1.799999952,3,0,0,NA,4,1,33,2,0,0,0.36640632,1
0,29,NA,4,1,3,0,0,0,0,NA,NA,0,NA,NA,4,2,13,1,0,1,0.716041033,0
0,67,71,3,1,3,0,1,0,1,1.399999976,4,0,0,NA,6,4,32,2,1,1,0.375584517,0
NA,23,53,2,2,2,0,1,0,1,1,2,0,0,NA,4,3,44,2,0,0,0.36640632,0
NA,85,NA,3,1,2,0,0,0,0,NA,NA,0,NA,NA,6,4,65,4,1,1,0.769991904,0
0,59,52,3,1,2,0,1,1,4,3.400000095,3,0,0,NA,2,4,3,3,1,0,2.636418593,0
0,0,NA,1,3,1,0,0,0,0,NA,NA,0,NA,NA,6,1,100,1,1,0,7.115609012,0
NA,20,5,1,4,1,0,0,1,4,2.599999905,1,0,0,NA,5,5,73,2,0,0,3.12703224,1
NA,37,49,3,1,1,0,1,1,3,5,3,0,0,NA,4,3,53,2,0,0,0.805149113,0
NA,27,4,2,3,2,0,0,1,4,2.799999952,2,NA,0,NA,4,2,97,2,0,0,0.519881011,1
0,6,40,2,4,2,0,0,1,4,1.399999976,2,0,0,NA,4,2,71,4,0,0,5.170994244,1
0,10,13,2,3,2,1,0,1,4,2.200000048,2,0,0,NA,5,4,56,4,0,1,0.460723587,0
0,45,NA,2,1,3,0,0,0,0,NA,NA,0,NA,NA,2,2,0,2,0,0,0.805149113,0
