totalfakebinary18_pre,pol_therm_media,misinform_soros_w2,misinform_jamal_w2,pol_therm_media_w2,massmedia_trust,mis_pro_r_false,mis_pro_d_false,proD_fake,proR_fake,vote_binary_w2,vote_combined_w2,polact_mean,massmedia_trustw2,affect_merged_leanersw1,affect_merged_leaners,lean_Dem,ideology,polknow,pol_therm_trump,agecat,nonwhite,college,weight,control_fake
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.766382871,0
0,90,1,2,95,4,1,4,0,1,1,4,4.400000095,4,0,0,NA,1,2,0,2,1,1,0.508834959,0
0,3,3,1,8,1,4,1,0,1,1,5,3,1,0,0,NA,4,4,50,3,0,0,0.753956286,0
NA,50,3,1,49,2,4,2,0,0,1,4,1,2,0,0,NA,4,3,61,2,0,1,0.55592144,1
0,0,3,3,10,1,3,2,1,0,0,1,1,1,0,0,NA,4,1,53,3,0,0,0.769592725,0
0,20,2,1,46,2,2,2,1,0,0,3,NA,2,0,0,NA,5,4,2,3,0,0,0.320352782,0
0,10,3,1,5,1,4,2,1,0,1,5,1,1,0,0,NA,4,3,95,4,0,0,1.347074405,0
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.170450799,0
0,22,2,3,1,2,2,3,1,0,1,5,3,3,0,0,NA,4,1,38,2,1,0,0.562488482,0
0,52,1,1,50,1,2,2,1,0,0,1,3,1,0,0,NA,4,0,52,3,0,0,0.68793115,0
0,65,1,1,81,3,1,1,0,0,1,5,1,3,0,0,NA,1,5,0,3,0,1,0.612732764,1
NA,85,1,2,88,3,1,1,0,0,1,4,1,4,0,0,NA,4,5,4,4,0,0,0.903867306,1
NA,69,2,2,66,3,3,2,0,1,0,1,1.200000048,3,NA,0,NA,4,2,50,2,0,0,0.963423255,0
0,20,2,1,25,2,4,1,0,1,1,5,1.399999976,1,0,0,NA,4,4,81,4,0,0,0.633906139,0
0,25,2,1,9,2,4,1,0,1,1,5,3.599999905,2,0,0,NA,5,5,76,1,0,1,1.833929301,0
NA,86,4,4,78,3,3,2,0,0,1,4,3.400000095,4,0,0,NA,1,1,84,2,0,1,1.009925765,1
NA,52,3,1,60,3,2,1,0,1,0,2,2.599999905,3,0,0,NA,4,3,90,2,1,0,0.680875597,0
NA,13,3,2,NA,1,2,2,0,1,0,2,3,3,NA,NA,NA,4,0,4,1,1,0,1.002069963,0
0,19,3,1,14,1,4,1,0,0,1,4,2.599999905,1,0,0,NA,4,2,91,2,0,0,1.235739372,1
NA,56,2,1,56,2,1,2,0,0,1,4,1.399999976,3,0,0,NA,4,3,6,4,0,0,0.515094018,1
0,10,4,1,3,1,4,1,0,0,1,4,1.799999952,1,0,0,NA,5,4,76,2,0,0,1.235739372,1
0,50,3,3,35,3,2,2,1,0,0,3,3,3,0,0,NA,4,2,2,3,0,0,0.419423776,0
0,95,3,2,83,4,3,2,0,1,1,5,4.199999809,4,0,0,NA,4,5,1,4,0,0,0.488629064,0
0,30,2,1,6,1,2,1,0,1,1,4,1,1,0,0,NA,4,3,39,4,0,0,0.331975546,0
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.578371972,0
0,100,3,3,50,4,4,4,0,0,0,1,1.399999976,3,NA,0,NA,7,0,52,2,0,0,0.861194299,1
0,4,2,2,32,1,3,3,0,0,0,3,1.600000024,2,0,0,NA,4,3,57,1,0,0,1.668939846,1
0,NA,NA,NA,NA,1,2,4,0,0,0,0,1,NA,NA,NA,NA,4,2,NA,1,0,0,4.567231343,0
0,0,1,1,0,1,1,3,0,0,1,4,2.599999905,1,0,0,NA,4,5,0,1,1,0,0.905041995,1
NA,23,NA,NA,NA,3,2,3,0,0,0,0,3.400000095,NA,0,NA,NA,5,4,6,1,1,0,0.916392137,0
0,35,3,1,35,2,4,3,0,0,1,5,1.799999952,2,0,0,NA,6,3,80,4,0,0,0.633906139,1
1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.653059471,0
1,20,3,1,50,2,4,1,0,1,1,4,3.799999952,2,0,0,NA,4,5,30,3,0,1,0.839850809,0
0,1,4,4,NA,1,4,1,1,0,0,1,1,1,0,NA,NA,4,2,0,3,1,0,7.96138304,0
NA,49,2,3,69,2,2,2,1,0,1,5,2.599999905,3,0,0,NA,4,1,21,2,1,0,4.134963821,0
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.109741099,0
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.511172674,0
0,89,NA,NA,NA,3,3,3,0,0,0,0,1,NA,0,NA,NA,2,1,0,1,1,1,1.046745451,0
0,98,1,2,94,3,3,3,1,0,1,5,4,3,0,0,NA,4,3,84,2,1,1,0.437945171,0
0,6,4,1,6,1,1,2,0,0,1,4,1.799999952,1,0,0,NA,6,2,70,4,0,0,1.508229034,1
NA,74,2,1,69,4,3,3,0,0,0,1,1,3,0,0,NA,6,1,7,4,0,0,0.441773051,1
NA,NA,2,2,9,1,2,2,0,1,0,1,1,3,NA,NA,NA,3,0,NA,2,1,0,1.667958849,0
0,87,1,1,98,4,2,1,1,0,1,5,1.600000024,3,0,0,NA,3,5,4,2,0,1,1.062462913,0
0,0,3,3,50,1,2,2,0,0,0,1,1,2,0,0,NA,4,5,0,1,0,1,1.73893584,1
0,10,2,2,42,2,2,2,0,0,1,4,1.399999976,3,0,0,NA,4,5,10,2,1,1,0.386469089,1
0,1,3,1,6,2,3,2,0,1,1,4,2.400000095,2,0,0,NA,4,5,96,2,0,0,3.004390786,0
0,39,4,1,54,2,4,1,1,0,1,4,3,2,0,0,NA,4,3,100,4,0,0,1.543801321,0
0,80,NA,NA,NA,3,4,4,0,0,0,0,2.599999905,NA,0,NA,NA,5,1,91,2,1,1,0.860206564,0
0,53,2,2,50,2,2,3,1,0,1,4,1,3,0,0,NA,2,1,53,3,0,1,0.472457901,0
0,72,1,1,49,3,1,2,0,0,0,2,1,3,0,0,NA,4,5,0,1,0,1,1.278076506,1
NA,3,2,1,18,2,3,2,0,0,1,5,2.200000048,2,0,0,NA,4,3,87,4,0,0,0.609789218,1
0,0,4,1,0,2,4,1,0,0,1,5,1.399999976,1,0,0,NA,7,3,100,3,0,0,1.104299032,1
NA,NA,1,1,73,3,3,2,1,0,0,1,1,3,NA,NA,NA,7,1,22,1,0,0,1.304363116,0
0,85,4,3,80,3,3,2,0,1,0,3,2.599999905,3,0,0,NA,4,1,2,3,0,0,0.404403044,0
0,41,NA,NA,NA,3,2,3,0,0,0,0,2.200000048,NA,0,NA,NA,4,1,12,2,0,1,0.360601359,0
0,0,4,1,0,1,4,1,0,0,1,4,2.599999905,1,0,0,NA,7,5,89,4,0,0,0.633906139,1
0,52,NA,NA,NA,3,3,1,0,0,0,0,1.399999976,NA,0,NA,NA,4,2,2,4,0,0,0.350628423,0
0,84,2,1,93,4,NA,4,1,0,1,4,3,4,NA,NA,NA,4,0,0,2,1,0,0.859278526,0
0,20,4,1,9,2,4,1,0,1,1,4,2.200000048,2,0,0,NA,4,4,95,4,1,0,0.703836574,0
0,0,NA,NA,NA,1,3,3,0,0,0,0,3,NA,0,NA,NA,4,2,0,2,0,1,0.562907227,0
0,52,2,2,19,3,3,3,0,1,0,1,1.399999976,2,NA,0,NA,4,2,52,3,0,0,0.68793115,0
0,38,1,1,53,2,3,2,1,0,1,4,1,2,0,0,NA,4,5,4,2,0,0,0.635183769,0
0,36,1,1,34,2,4,2,0,0,0,3,2,2,0,0,NA,5,2,36,2,0,0,0.401037211,1
0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1.517693165,0
NA,50,3,2,66,3,3,2,0,1,1,5,2.799999952,3,0,0,NA,4,5,44,4,0,0,0.331691467,0
NA,6,1,1,3,3,3,1,0,0,1,5,1,3,0,0,NA,2,4,5,2,1,0,0.52443528,1
